run_label,scenario,seed,device,sim_time_ms,utilization_fraction
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1375.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1375.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1375.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1375.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1375.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1400.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1400.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1400.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1400.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1400.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1425.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1425.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1425.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1425.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1425.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1450.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1450.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1450.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1450.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1450.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1475.000,0.040000
